id_bien;code_com_dep_5;No voie;B/T/Q;Type de voie;Voie;Nombre pieces principales;Surface Carrez du 1er lot;Surface reelle bati;Surface terrain;Type local
23281;92073;23;;RUE;JEAN JACQUES ROUSSEAU;3;65.93;65;;Appartement
23282;92062;75;B;RUE;VICTOR HUGO;2;48.16;53;;Appartement
23283;92026;5;;PARC;DE LATTRE DE TASSIGNY;4;83.83;83;;Appartement
23284;92062;25;;RUE;PARMENTIER;3;58.61;58;;Appartement
23285;92026;9;;RUE;JULES FERRY;3;64.98;65;;Appartement
23286;92026;54;;BD;DE VERDUN;3;43.05;45;;Appartement
23287;92063;35;;RUE;DU DOCTEUR ZAMENHOFF;4;55.18;79;;Appartement
23288;92062;13;;RUE;FERNAND PELLOUTIER;3;57;51;;Appartement
23289;92063;33;;RUE;DU DOCTEUR ZAMENHOFF;4;94.47;96;;Appartement
23290;92026;23;;AV;GALLIENI;1;26.64;24;;Appartement
23291;92063;11;;AV;DE LA REPUBLIQUE;1;24.07;25;;Appartement
23292;92073;151;;BD;HENRI SELLIER;2;47.68;47;;Appartement
23293;92073;24;;BD;LOUIS LOUCHEUR;4;87.72;87;;Appartement
23294;92073;79;;RUE;DES BAS ROGERS;3;65.75;65;;Appartement
23295;92026;54;;RUE;DE COLOMBES;3;64.34;64;;Appartement
23296;92050;42;;AV;VLADIMIR ILITCH LENINE;3;72.7;57;;Appartement
23297;92062;39;;RUE;MARIUS JACOTOT;2;51.14;53;;Appartement
23298;92073;84;;BD;HENRI SELLIER;1;30.04;24;;Appartement
23299;92026;48;;BD;MISSION MARCHAND;5;82.21;81;;Appartement
23300;92026;51;;RUE;EDITH CAVELL;3;65.17;66;;Appartement
23301;92026;13;;AV;PUVIS DE CHAVANNES;4;76.85;78;;Appartement
23302;92062;1;;PL;DU SUD;4;109.2;91;;Appartement
23303;92050;20;;RUE;DE LA COTE;3;51.47;52;;Appartement
23304;92073;29;;AV;DU GEN CHARLES DE GAULLE;4;82.51;90;;Appartement
23305;92050;2;;RUE;DE STALINGRAD;1;18.81;18;;Appartement
23306;92073;12;;RUE;KELLOG;2;51.4;51;;Appartement
23307;92026;39;;AV;DE L ARCHE;5;104.12;104;;Appartement
23308;92062;158;;RUE;DE VERDUN;2;36.83;36;;Appartement
23309;92026;1;B;RUE;DE LA SABLIERE;3;63.03;62;;Appartement
23310;92063;77;;BD;RICHELIEU;7;116.02;130;;Appartement
23311;92062;14;;RUE;CHARLES LORILLEUX;2;36.29;44;;Appartement
23312;92026;11;;PL;DES DOMINOS;1;25.51;25;;Appartement
23313;92062;9;;RUE;CHANTECOQ;3;63.23;62;;Appartement
23314;92063;11;;RUE;HAUTE;2;45.6;45;;Appartement
23315;92062;27;;RUE;MARIUS JACOTOT;2;27.42;30;;Appartement
23316;92050;61;;RUE;PIERRE CURIE;2;35.56;62;;Appartement
23317;92050;24;;AV;DU MARECHAL JOFFRE;3;55.13;54;;Appartement
23318;92050;23;;RUE;DU DOCTEUR CHARCOT;4;75.31;74;;Appartement
23319;92026;31;;RUE;DE BELFORT;1;30.29;30;;Appartement
23320;92073;63;;RUE;DE VERDUN;3;75.77;78;;Appartement
23321;92026;7;;RUE;JOSEPH MERY;1;32.34;32;;Appartement
23322;92063;50;;RUE;DES ORTIES;3;62.84;62;;Appartement
23323;92073;40;;RUE;GAMBETTA;3;64.27;58;;Appartement
23324;92026;97;;BD;SAINT DENIS;1;25.79;24;;Appartement
23325;92026;80;;AV;GAMBETTA;4;76.26;82;;Appartement
23326;92073;40;;RUE;JEAN JACQUES ROUSSEAU;5;105.59;107;;Appartement
23327;92026;6;;AV;DE CHATEAU DU LOIR;2;44.22;45;;Appartement
23328;92073;116;;RUE;CARNOT;4;92.84;85;;Appartement
23329;92026;72;;RUE;SEGOFFIN;2;62.14;70;;Appartement
23330;92062;16;;AV;GEORGES POMPIDOU;3;75.58;74;;Appartement
23331;92026;9;;RUE;ARMAND SILVESTRE;2;34.37;34;;Appartement
23332;92062;14;;RUE;PAUL LAFARGUE;2;64.9;59;;Appartement
23333;92062;14;;RUE;PAUL LAFARGUE;2;56.3;56;;Appartement
23334;92073;33;;RUE;DE LA TUILERIE;3;53.45;50;;Appartement
23335;92026;146;;RUE;DES ETUDIANTS;5;130;161;;Appartement
23336;92063;1;;AV;GEORGES CLEMENCEAU;3;163.9;69;;Appartement
23337;92026;38;;AV;PASTEUR;4;98.16;96;;Appartement
23338;92063;50;;RUE;HENRI DUNANT;1;50.64;51;;Appartement
23339;92050;160;;AV;JULES QUENTIN;2;37.28;38;;Appartement
23340;92026;4;;BD;SAINT DENIS;2;65.03;64;;Appartement
23341;92063;31;;RUE;DU QUATRE SEPTEMBRE;3;51.65;59;;Appartement
23342;92063;14;;RUE;FRANCOIS JACOB;3;68.07;68;;Appartement
23343;92050;6;;RUE;DE LA SOURCE;3;40.36;40;;Appartement
23344;92063;20;;RUE;DE LA MELONNIERE;3;52.96;52;;Appartement
23345;92063;67;;AV;DE LA REPUBLIQUE;4;64.54;64;;Appartement
23346;92026;8;;RUE;EDGAR QUINET;3;56.15;51;;Appartement
23347;92063;4;;RUE;RACINE;1;28.87;27;;Appartement
23348;92026;7;;RUE;BAUDIN;5;101.22;100;;Appartement
23349;92063;14;;RUE;JULES PARENT;1;19.56;21;;Appartement
23350;92063;6;;IMP;ST SULPICE;1;83.98;18;;Appartement
23351;92063;3;;RUE;RAYMOND QUENEAU;1;31.95;32;;Appartement
23352;92063;51;;AV;DE SEINE;4;63.11;63;;Appartement
23353;92062;14;;RUE;PAUL LAFARGUE;1;34.4;35;;Appartement
23354;92063;44;;RUE;PEREIRE;2;49;49;;Appartement
23355;92063;27;;RUE;DU GUE;1;28.53;25;;Appartement
23356;92063;9;;AV;BEAUSEJOUR;2;41.5;43;;Appartement
23357;92062;15;;RUE;SAULNIER;2;34.5;34;;Appartement
23358;92063;11;;AV;LAVOISIER;4;64.25;63;;Appartement
23359;92062;1;B;RUE;ROUSSELLE;3;68.08;67;;Appartement
23360;92026;2;;ALL;MICHEL ANGE;1;18.52;18;;Appartement
23361;92026;8;;RUE;PARMENTIER;1;20.4;20;;Appartement
23362;92026;3;;RUE;WATTEAU;3;64.12;65;;Appartement
23363;92062;2;;RUE;LUCIEN VOILIN;1;19.54;20;;Appartement
23364;92026;8;;RUE;EDGAR QUINET;3;56.28;48;;Appartement
23365;92073;19;;RUE;DES BAS ROGERS;3;51.3;51;;Appartement
23366;92073;1;;AV;DES LANDES;3;47.19;46;;Appartement
23367;92063;220;B;AV;PAUL DOUMER;3;81.28;84;;Appartement
23368;92063;22;;RUE;SOPHIE RODRIGUES;2;39.82;39;;Appartement
23369;92063;28;;RUE;HENRI DUNANT;4;63.89;63;;Appartement
23370;92062;14;;RUE;PAUL LAFARGUE;2;57.1;59;;Appartement
23371;92062;6;;SQ;LEON BLUM;1;22.87;24;;Appartement
23372;92026;71;;BD;SAINT DENIS;2;37.02;36;;Appartement
23373;92063;88;;AV;ALBERT 1ER;2;41.35;41;;Appartement
23374;92026;18;;RUE;DU 22 SEPTEMBRE;4;79.67;78;;Appartement
23375;92026;2;;RUE;DE SEBASTOPOL;2;55.2;56;;Appartement
23376;92063;15;;RUE;DE LA MELONNIERE;3;52.19;52;;Appartement
23377;92050;7;B;RUE;MARCELIN BERTHELOT;2;45.74;47;;Appartement
23378;92050;25;;RUE;DU DOCTEUR FOUCAULT;2;53.11;50;;Appartement
23379;92073;73;;RUE;JEAN JACQUES ROUSSEAU;4;54.11;54;;Appartement
23380;92026;32;;RUE;BAUDIN;1;54.33;28;;Appartement
23381;92026;11;;PL;DES DOMINOS;4;102.11;96;;Appartement
23382;92026;117;;RUE;RAYMOND RIDEL;3;54.72;54;;Appartement
23383;92063;8;;RUE;EMILE LEBLOND;1;26.32;25;;Appartement
23384;92026;2;;RUE;VICTOR HUGO;2;51.15;49;;Appartement
23385;92063;86;;AV;DU DIX HUIT JUIN 1940;3;80.16;79;;Appartement
23386;92062;71;;BD;RICHARD WALLACE;2;15.55;16;;Appartement
23387;92050;160;;AV;DE LA REPUBLIQUE;3;64.68;64;;Appartement
23388;92063;14;;RUE;JEAN LE COZ;1;35.51;35;;Appartement
23389;92063;16;;RUE;MAC MAHON;3;160.13;85;;Maison
23390;92050;41;;RUE;HENRI BARBUSSE;3;43.51;32;;Appartement
23391;92062;17;;RUE;DES PAVILLONS;2;43.84;44;;Appartement
23392;92050;18;;RUE;VOLANT;2;30.56;36;;Appartement
23393;92073;3;;ALL;DU 8 MAI 1945;4;91.58;91;;Appartement
23394;92026;67;;AV;GAMBETTA;1;36.53;40;;Appartement
23395;92073;32;;RUE;GEORGES APPAY;2;26.38;40;;Maison
23396;92062;45;;RUE;GERHARD;4;103;100;;Maison
23397;92073;148;;BD;HENRI SELLIER;5;52.19;115;;Appartement
23398;92062;35;;RUE;PAUL BERT;1;20.71;21;;Appartement
23399;92050;36;;RUE;SAINTE - GENEVIEVE;2;39.29;45;;Appartement
23400;92063;4;;SQ;RONSARD;2;43.43;43;;Appartement
23401;92026;90;;QUAI;MARECHAL JOFFRE;1;28.04;28;;Appartement
23402;92062;2;;RUE;ANATOLE FRANCE;2;29.66;39;;Appartement
23403;92073;26;;AV;EDOUARD VAILLANT;3;72.4;70;;Appartement
23404;92073;68;;AV;JEAN JAURES;2;42.74;49;;Appartement
23405;92026;28;;RUE;JULES FERRY;3;73.21;74;;Appartement
23406;92073;153;;BD;HENRI SELLIER;3;62.64;62;;Appartement
23407;92073;2;;RUE;GROTIUS;2;46.9;46;;Appartement
23408;92073;62;;RUE;DES MOULINEAUX;3;65.05;66;;Appartement
23409;92063;288;;AV;NAPOLEON BONAPARTE;3;59.87;60;;Appartement
23410;92063;31;;RUE;DU DOCTEUR ZAMENHOFF;3;72.01;74;;Appartement
23411;92062;23;;RUE;LOUIS POUEY;1;27.89;28;;Appartement
23412;92026;183;;RUE;ARMAND SILVESTRE;2;41.03;39;;Appartement
23413;92073;12;;RUE;KELLOG;2;50.75;50;;Appartement
23414;92026;26;;RUE;MADIRAA;5;117.07;120;;Appartement
23415;92062;15;;RUE;SAULNIER;2;33.87;34;;Appartement
23416;92026;27;;RUE;JULES FERRY;1;23.04;23;;Appartement
23417;92062;5;;RUE;RABELAIS;1;37.61;37;;Appartement
23418;92063;117;;RUE;ESTIENNE D ORVES;1;22.42;22;;Appartement
23419;92063;2;;BD;DES COTEAUX;2;35.34;35;;Appartement
23420;92026;37;;RUE;JULES FERRY;1;40.89;41;;Appartement
23421;92063;32;;RUE;RAYMOND QUENEAU;3;60.7;65;;Appartement
23422;92073;6;;PROM;SAINT LEUFROY;4;93.16;90;;Appartement
23423;92050;83;;AV;FELIX FAURE;2;39;38;;Appartement
23424;92026;31;;RUE;DE BELFORT;2;42.4;41;;Appartement
23425;92050;160;;AV;JULES QUENTIN;2;35.46;36;;Appartement
23426;92073;10;;RUE;DU MONT VALERIEN;3;83.71;83;;Appartement
23427;92063;2;;RUE;PAUL GIMONT;4;66.54;66;;Appartement
23428;92026;9;;RUE;JULES FERRY;2;51.17;51;;Appartement
23429;92026;3;;RUE;AUGUSTE BAILLY;3;78.64;59;;Appartement
23430;92026;60;;AV;PUVIS DE CHAVANNES;3;59.55;59;;Appartement
23431;92026;12;;RUE;CAMILLE SAINT SAENS;3;52.16;53;;Appartement
23432;92062;33;;RUE;PARMENTIER;3;65.58;69;;Appartement
23433;92050;48;;RUE;DES ALOUETTES;3;73.71;60;;Maison
23434;92063;19;;RUE;LOUIS  BLERIOT;3;69;70;;Appartement
23435;92026;40;;AV;PASTEUR;4;72.29;74;;Appartement
23436;92050;64;;AV;FELIX FAURE;3;57.62;56;;Appartement
23437;92073;73;;RUE;DES BAS ROGERS;3;66.71;67;;Appartement
23438;92062;14;;RUE;PAUL LAFARGUE;2;56.7;56;;Appartement
23439;92026;2;;PL;HEROLD;3;70.02;70;;Appartement
23440;92026;35;;RUE;PIERRE BROSSOLETTE;3;67.12;66;;Appartement
23441;92063;7;T;RUE;JULES PARENT;4;98.63;98;;Appartement
23442;92050;1;;AV;HENRI MARTIN;3;49.27;48;;Appartement
23443;92062;9;;RUE;ARAGO;2;30.1;29;;Appartement
23444;92050;108;;ALL;DES PARFUMEURS;2;41.3;41;;Appartement
23445;92026;7;;RUE;BAUDIN;5;102.01;100;;Appartement
23446;92026;43;;RUE;DU 22 SEPTEMBRE;2;37.75;35;;Appartement
23447;92026;35;B;RUE;DES FAUVELLES;5;96.27;92;;Maison
23448;92062;20;;RUE;DES BAS ROGERS;1;11.64;11;;Appartement
23449;92073;11;;RUE;DE LA PASSERELLE;5;112.96;45;71;Appartement
23450;92062;35;;RUE;AUGUSTE BLANCHE;3;31.61;33;;Appartement
23451;92050;51;;RUE;SADI CARNOT;1;28.92;29;;Appartement
23452;92050;11;;RUE;DES GRANDS BUISSONS;1;31.74;31;;Appartement
23453;92073;9;;AV;SISLEY;5;124.82;110;;Appartement
23454;92062;154;;RUE;JEAN JAURES;1;39.34;40;;Appartement
23455;92073;17;;RUE;CARNOT;4;81.47;78;;Appartement
23456;92063;52;;RUE;SOPHIE RODRIGUES;2;51.62;51;;Appartement
23457;92026;42;;RUE;LAMBRECHTS;2;29.52;28;;Appartement
23458;92062;44;;RUE;MARIUS JACOTOT;1;12.04;14;;Appartement
23459;92026;9;;RUE;VICTOR HUGO;2;45.41;45;;Appartement
23460;92026;22;;AV;GALLIENI;3;55.3;60;;Appartement
23461;92073;7;;RUE;GABRIEL PHILIPPE;5;128.15;118;;Maison
23462;92073;2;;ALL;DES RIVES DE BAGATELLE;2;55.57;56;;Appartement
23463;92073;60;;AV;JEAN JAURES;2;53.34;53;;Appartement
23464;92073;17;;RUE;GARDENAT LAPOSTOL;1;24.8;24;;Appartement
23465;92062;156;;RUE;DE VERDUN;3;59.25;68;;Appartement
23466;92073;13;;RUE;GARDENAT LAPOSTOL;2;72.31;74;;Appartement
23467;92063;103;;AV;DE CHATAIGNERAIE;1;15.66;11;;Appartement
23468;92026;20;T;RUE;DE BEZONS;4;108.16;107;;Appartement
23469;92073;29;B;RUE;CARNOT;2;44.85;46;;Appartement
23470;92073;92;;RUE;DE LA FOUILLEUSE;3;84.57;83;;Appartement
23471;92062;95;;RUE;JEAN JAURES;3;52.13;49;;Appartement
23472;92063;11;;RUE;DES FOLIES;3;56.55;56;;Appartement
23473;92050;11;;RUE;ALEXANDRE DUMAS;3;217.93;192;;Appartement
23474;92073;41;;RUE;DANTON;3;45.17;45;;Appartement
23475;92026;89;B;AV;MARCEAU;4;34.95;80;;Appartement
23476;92063;9;;RUE;P V COUTURIER;1;19.93;22;;Appartement
23477;92026;14;;RUE;VICTOR HUGO;4;75.44;77;;Appartement
23478;92062;92;;RUE;ROQUE DE FILLOL;1;14.36;14;;Appartement
23479;92026;175;;BD;SAINT DENIS;4;84.1;84;;Appartement
23480;92062;75;B;RUE;VICTOR HUGO;1;46.1;21;;Appartement
23481;92026;17;;RUE;ADAM LEDOUX;3;55.92;60;;Appartement
23482;92026;91;;AV;MARCEAU;3;39.78;50;;Appartement
23483;92026;9;;RUE;MADIRAA;1;19.04;16;;Appartement
23484;92026;20;T;RUE;DE BEZONS;1;51.8;49;;Appartement
23485;92063;92;;AV;ALBERT 1ER;1;30.07;29;;Appartement
23486;92026;1;;SQ;LEON DE BERTALOT;1;21.41;20;;Appartement
23487;92062;71;;BD;RICHARD WALLACE;3;57.62;57;;Appartement
23488;92050;1;;BD;DU COUCHANT;2;24.49;27;;Appartement
23489;92073;50;B;RUE;DE LA REPUBLIQUE;2;48.3;42;;Appartement
23490;92026;5;;RUE;LYAUTEY;3;56.2;58;;Appartement
23491;92073;13;;RUE;DU CLOS DES ERMITES;2;26.25;26;;Appartement
23492;92026;64;;BD;MISSION MARCHAND;3;63.53;64;;Appartement
23493;92063;25;B;RUE;DU CHATEAU;4;72.96;83;;Appartement
23494;92026;68;;QUAI;MARECHAL JOFFRE;1;25.37;25;;Appartement
23495;92026;115;;RUE;RAYMOND RIDEL;2;40.61;34;;Appartement
23496;92026;97;;BD;SAINT DENIS;1;21.2;22;;Appartement
23497;92026;29;;AV;GALLIENI;3;68;67;;Appartement
23498;92026;8;;RUE;JULES FERRY;2;49.75;49;;Appartement
23499;92063;1;;RUE;MARCEL PAGNOL;3;80.7;81;;Appartement
23500;92062;69;;AV;DU GENERAL DE GAULLE;3;70.01;69;;Appartement
23501;92050;334;;AV;GEORGES CLEMENCEAU;4;70.65;70;;Appartement
23502;92063;12;;RUE;HENRI DUNANT;3;54.55;57;;Appartement
23503;92050;6;;PL;DU MARECHAL FOCH;3;48.27;49;;Appartement
23504;92063;1;;AV;GEORGES CLEMENCEAU;3;69.51;70;;Appartement
23505;92062;22;;RUE;ROUGET DE LISLE;3;63.71;68;;Appartement
23506;92026;11;;RUE;HUDRI;6;134.2;134;;Appartement
23507;92026;87;;RUE;DE STRASBOURG;3;69.7;71;;Appartement
23508;92026;59;;AV;GAMBETTA;3;42.79;41;;Appartement
23509;92026;57;;RUE;DE BITCHE;1;15.07;12;;Appartement
23510;92026;21;;RUE;SAINTE GENEVIEVE;3;61.79;59;;Appartement
23511;92026;43;;RUE;DE NORMANDIE;5;83.97;81;;Appartement
23512;92026;31;;BD;DE VERDUN;2;53.04;49;;Appartement
23513;92050;3;;ALL;DU BERRY;3;56.49;68;;Appartement
23514;92050;194;;RUE;PAUL VAILLANT-COUTURIER;1;23.81;23;;Appartement
23515;92026;8;;RUE;HENRI REGNAULT;3;80;79;;Appartement
23516;92062;5;;RUE;DE L OASIS;2;28.19;27;;Appartement
23517;92050;30;;RUE;SALVADOR ALLENDE;2;45.12;47;;Appartement
23518;92050;19;;ALL;DU TERTRE;6;124.41;129;;Maison
23519;92026;3;;RUE;RASPAIL;2;32.16;56;;Appartement
23520;92026;3;;RUE;CHANZY;2;42.66;47;;Appartement
23521;92050;3;;RUE;ANDRE SABATIER;2;51.42;48;;Appartement
23522;92062;43;;RUE;EUGENE EICHENBERGER;2;35.1;36;;Appartement
23523;92063;2;;AV;EDOUARD BELIN;1;25.06;30;;Appartement
23524;92050;24;;RUE;DE ZILINA;3;65.58;64;;Appartement
23525;92026;173;;BD;SAINT DENIS;3;68.19;68;;Appartement
23526;92026;43;;RUE;DU 22 SEPTEMBRE;3;51.32;46;;Appartement
23527;92050;50;8;RUE;DE METZ;2;38.2;38;;Appartement
23528;92073;91;;RUE;DE LA REPUBLIQUE;3;77.44;77;;Appartement
23529;92063;43;;BD;RICHELIEU;1;16.56;17;;Appartement
23530;92062;9;;RUE;PAUL BERT;3;61.92;62;;Appartement
23531;92063;68;;AV;DE BUZENVAL;4;106.6;85;;Maison
23532;92073;101;;BD;MAL DE LATTRE DE TASSIGNY;4;87.72;89;;Appartement
23533;92026;4;;RUE;KLEBER;2;53.42;53;;Appartement
23534;92026;97;;BD;SAINT DENIS;1;35.07;32;;Appartement
23535;92062;24;;RUE;VICTOR HUGO;2;25.4;27;;Appartement
23536;92026;7;;RUE;DU COMMANDANT LAMY;1;24.77;10;;Appartement
23537;92073;147;;BD;HENRI SELLIER;2;48.35;50;;Appartement
23538;92050;42;;RUE;ANDRE DOUCET;4;87;86;;Appartement
23539;92050;77;;ALL;DES POUVINS;1;31.6;31;;Appartement
23540;92063;34;;RUE;DU CHATEAU;1;25.53;25;;Appartement
23541;92026;14;;RUE;DU RP CLOAREC;5;121.22;121;;Appartement
23542;92026;4;;PROM;DU MILLENAIRE;2;46.42;46;;Appartement
23543;92026;115;;RUE;JEAN BAPTISTE CHARCOT;2;44.25;44;;Appartement
23544;92026;54;;BD;DE VERDUN;2;38.49;42;;Appartement
23545;92062;23;;RUE;LOUIS POUEY;4;93.78;100;;Appartement
23546;92062;3;;AV;GUTENBERG;4;80.92;81;;Appartement
23547;92026;19;;RUE;BARBES;3;56.46;52;;Appartement
23548;92026;3;;SQ;HENRI REGNAULT;3;64.69;61;;Appartement
23549;92062;14;;RUE;LUCIEN VOILIN;3;41.89;40;;Appartement
23550;92063;15;;RUE;FRANCOIS JACOB;2;47.56;47;;Appartement
23551;92063;15;;RUE;FRANCOIS JACOB;3;68.55;68;;Appartement
23552;92026;15;;RUE;GUILLAUME FAREL;1;23.25;24;;Appartement
23553;92050;74;;RUE;HENRI BARBUSSE;3;351.07;48;;Appartement
23554;92050;11;;AV;LOUIS MEUNIER;2;42.2;47;;Appartement
23555;92073;29;;RUE;GAMBETTA;3;78.52;78;;Appartement
23556;92062;27;;RUE;DES PAVILLONS;3;67.78;68;;Appartement
23557;92062;42;;RUE;PARMENTIER;3;54.52;56;;Appartement
23558;92026;20;;AV;GALLIENI;4;101.2;103;;Appartement
23559;92026;56;;AV;DE L ARCHE;2;37.81;37;;Appartement
23560;92063;3;;ALL;AUGUSTE BERNARD;1;36.6;36;;Appartement
23561;92073;22;;RUE;CLUSERET;2;43.52;43;;Appartement
23562;92050;1;;RUE;GAMBETTA;2;49.2;48;;Appartement
